Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,NA_pct
Cameron Place NE,2018-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place NE,2018-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place NE,2018-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place NE,2018-11-13,0.21467274421833582,17.58830551647292,0.15779979020623924,0.20588047315394864,-0.1584195030792164,0.09906532188028831,10.122023424925356,0.042810085714285705,0.5662946584287278,0.49043528145528886,0.12299757022849794,-0.3084746662517383,0.09664633374288477,0.2912471553961039,0.008147150097402602,-0.22368169544155847,165.99178186472574,165.22766000704766,158.36476286297483,165.37543486018768,157.5945539407059,155.82758785262365,570.2610389610389,713.4720779220779,880.7779220779221,1359.3181818181818,2567.3636363636365,1868.5837662337663,0.0
Cameron Place NE,2018-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place NE,2018-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place NE,2018-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place NE,2018-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place NE,2018-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place NE,2018-12-18,0.1999766312762857,19.192250186885502,0.16833976009576412,0.20613781103200604,-0.15528100848038226,0.09286713084557885,9.47171294394134,0.03794357922077922,0.5611661924281051,0.48465454713635886,0.12688155370741488,-0.3153602236931406,0.09003862539024994,0.2932680175844156,0.006277084961038966,-0.22345499107792213,163.46957960572553,163.52361145036352,158.49771891717995,164.4307167880741,158.35006728596946,157.18803527859956,572.8948051948051,730.9025974025974,902.7402597402597,1352.3948051948053,2596.181818181818,1848.0142857142857,0.0
Cameron Place NE,2018-12-20,0.2037516224580692,17.94521451818632,0.15723608339123227,0.19613175654158327,-0.1483516009297229,0.09504037955363845,9.682087228268296,0.04245631948051947,0.5423049533292824,0.47347149477596573,0.11212392713415306,-0.2986177756070813,0.09344826943166314,0.2928214806948052,0.006472943077922082,-0.21728153246753248,163.81313344061957,164.93263142341968,158.5835141483897,166.6538778985288,158.37223054596043,156.35149281423548,595.4922077922078,749.9545454545455,903.6344155844156,1364.9564935064934,2524.246753246753,1838.3012987012987,0.0
Cameron Place NE,2018-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place NE,2018-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place NE,2019-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place NE,2019-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place NE,2019-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place NE,2019-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place NE,2019-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place NE,2019-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
