Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,NA_pct
Burden Place,2018-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2018-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2018-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2018-11-13,0.22487862437541306,18.39623164559884,0.17040710972468534,0.2177033951902041,-0.13583086520702953,0.11375771679054157,11.353630254835414,0.05059743090260073,0.5737873446122193,0.4906714390503188,0.13121523235231067,-0.29913672728343804,0.1112019937714518,0.3287772186588477,0.01372106767720552,-0.24917654037990827,163.1670502346652,161.6309636789997,153.6053872447888,161.4202216560349,152.68246050178726,150.96911220017586,618.5012748597654,789.1629270780214,996.6868944416115,1572.8755736868945,2898.8103008669045,2058.7598164201936,0.0
Burden Place,2018-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2018-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2018-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2018-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2018-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2018-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2018-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2018-12-18,0.20629229585566083,19.840951258197403,0.1777980180188967,0.2168941840897787,-0.1368682566818335,0.10561796082003007,10.50707158664504,0.04390432703117015,0.5663073725123156,0.48258933045565977,0.1359279800614689,-0.307059702557982,0.10293065560073644,0.3340784164588657,0.01053401687276444,-0.25131458236586623,160.8280763963191,159.9320549098964,154.0981544586163,160.30573206704972,153.79207713598498,152.8432210574522,634.2289218191108,819.6974961676035,1033.8702095043434,1570.78180889116,2951.9923352069495,2063.7552376085846,0.002039775624681285
Burden Place,2018-12-20,0.21057910023320792,18.517776572637697,0.16587697288157685,0.203831179874854,-0.12587641390923093,0.10858424477646202,10.785622226338651,0.04758178684344723,0.5492615169140311,0.4678349981926096,0.12865901807221908,-0.28566515519644325,0.10659678988185661,0.33379289240693544,0.011703107220805713,-0.24339317911014796,160.67044354348556,160.26003450247197,153.44380619559507,161.03177240564742,153.06490704839067,151.6025658329651,649.101988781234,834.6685364609893,1041.6919938806732,1596.3964813870475,2861.4658337582864,2051.317440081591,0.0
Burden Place,2018-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2018-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2019-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2019-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2019-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2019-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2019-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2019-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2019-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2019-02-01,0.22362663431271107,19.188241095865937,0.17795972901575302,0.18361530444639496,-0.06442928008412172,0.11343181700009786,11.311370017047247,0.04147857247706421,0.5490612284756545,0.43559204685173086,0.16726692609739527,-0.23840177267106122,0.10520704552370834,0.31398104177064223,0.01981796609174313,-0.21469010629357801,156.0744683707497,153.30968839499016,148.2617683593464,152.64219628000768,148.04527890186176,148.25728027048396,545.9779816513761,756.3247706422019,1020.6688073394496,1595.0871559633028,2607.5761467889906,1822.073394495413,0.7220805711371749
Burden Place,2019-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2019-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2019-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2019-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2019-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2019-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2019-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2019-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2019-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2019-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2019-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2019-04-07,0.22930297561535926,16.991164987826195,0.1569254673240115,0.2191200363145551,-0.1475172370626812,0.1185415238856375,11.764363825166653,0.0601672876151484,0.5595499593133699,0.4929164031950762,0.1057995283640034,-0.29740945336724894,0.11734179117866413,0.34188736249488244,0.012817076345957013,-0.2603538810696009,159.78070150567405,162.86715085181433,153.67623628578747,166.47753078543178,153.54444068554642,150.3268715877144,647.89252814739,847.1243602865916,1020.0609007164791,1625.237205731832,2992.7136642784035,2183.329580348004,0.0035696073431922487
Burden Place,2019-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2019-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2019-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2019-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2019-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2019-05-04,0.3228156748011588,14.859275783065833,0.1702632705318838,0.22700357926136167,-0.03900154995447706,0.18320613537033215,17.81145477515236,0.12573723529411765,0.5353524169705695,0.4974137994104832,0.050505926566600946,-0.20785138599945663,0.19081676116693078,0.37227994558823535,0.039897350147058835,-0.2570310375,156.48336190991947,165.91863156146232,141.56033583578775,175.53082045115104,140.17296433915016,132.37945826392928,711.8970588235294,931.1764705882352,1033.014705882353,2016.514705882353,3072.3970588235293,2179.9411764705883,0.9826619071902091
Burden Place,2019-05-12,0.3357116248588857,14.918366968800322,0.17684717965255467,0.22958947188700146,-0.03379430033517907,0.18216716810630745,17.882043779601016,0.12110681125319692,0.5505310064196464,0.5091596505936383,0.054283484244030164,-0.20928976411909272,0.1847077876828055,0.3470053087621482,0.04109461543989772,-0.2430726638439898,155.9645975173839,165.2938950678923,141.83628008965528,174.8419728394855,140.60054878018926,132.96816110185642,623.3281329923274,843.3774936061382,948.4823529411765,1903.36547314578,2903.2278772378518,2033.862915601023,0.0030596634370219276
Burden Place,2019-05-13,0.33927415348549617,14.884050051846078,0.178296679480932,0.22270523320177255,-0.012936783233613941,0.18694399775480977,18.293610356661958,0.12761019683834773,0.5347475097141173,0.49772216363336186,0.04755809221598491,-0.19069274239845727,0.19286769613962595,0.3513169076542582,0.043402103411524735,-0.2371487409484956,156.5184108634098,166.10335549415964,140.65053200026992,175.78894539874543,139.1321427974233,131.13996799744854,659.074706782254,871.5402855685875,966.7524222335543,1956.0808261091279,2871.0637429882713,2006.9184089750127,0.0
Burden Place,2019-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2019-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2019-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2019-06-01,0.44740024915049015,13.304173036814676,0.21199027231908765,0.24442500631153857,0.10120159544653776,0.253734095209245,24.68274163809955,0.18915300000000002,0.5513586202696802,0.5335908935172256,0.01968810393825809,-0.11298450011834531,0.25843432653255205,0.34764872633399224,0.07629651127470356,-0.22014188357707515,150.05505396169224,165.7227432980958,128.5205419616421,182.36739053192912,126.68667776306704,117.4975154847605,546.9397233201581,805.005928853755,852.5760869565217,2217.672924901186,2780.2391304347825,1812.2025691699605,0.7419683834778175
Burden Place,2019-06-06,0.48708070764691697,12.71700669927179,0.22687453508223798,0.2530137389142389,0.12268253213259939,0.2597691695690134,25.59297856466228,0.1947778011218766,0.5614616300136693,0.5650339775863318,-0.002904009871798564,-0.106877517431338,0.2617851831697493,0.3140738827715453,0.07737440789648138,-0.20139663002294747,149.3452592459394,168.77846967650663,129.31148743067587,189.1221578026545,127.65209133297115,117.37965343794268,463.7763895971443,718.6435492095869,713.8771035186129,2061.3370729219787,2553.9783273839876,1613.35288118307,0.0
Burden Place,2019-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2019-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2019-06-16,0.495580508198858,13.358634610006321,0.24807426853432757,0.25391307311935596,0.16848576497117287,0.2741137513575061,26.805624502879983,0.21011308636363643,0.5539305444136158,0.5562312395419867,-0.001752364793964189,-0.08256824644173041,0.2814688837160238,0.3262226257386365,0.08610135194318183,-0.19863194898863645,149.9925439422768,168.64321929953215,125.84220424580161,188.0311439843144,123.71087960485727,113.7633469477397,501.09090909090907,745.9102272727273,743.45,2199.903409090909,2603.3579545454545,1575.2,0.7756246812850587
Burden Place,2019-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2019-06-26,0.46179381319884794,14.00427048313318,0.2351565035620416,0.23332373494525918,0.17818977477580974,0.2739959160738846,26.428764962200734,0.19940588475267712,0.5583193645050327,0.5076047908069914,0.049289639665674546,-0.059206706991044335,0.26764905809960443,0.35259930847016835,0.09332256136155025,-0.20442038389597153,145.70156737172934,157.04877170239968,121.0135376832354,170.21252022210828,119.13274950310716,111.41990673675909,477.5813360530342,770.1366649668537,890.5318714941357,2405.7231004589494,2713.192248852626,1682.7776644569096,0.0
Burden Place,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2019-07-01,0.45100481575059814,15.102051033714071,0.2497651197229858,0.2524383825151867,0.1516657021077485,0.2635176237050765,25.481741375559718,0.18611234545454539,0.5868256388922756,0.5289188292027279,0.05907037195579891,-0.10164363740531446,0.2571225704546951,0.3513169287803029,0.08743335130303032,-0.21803006128409086,148.88432751486425,157.91228202035063,123.4633214214356,168.33793153166917,121.32463974864183,113.89505505053039,478.0833333333333,743.7613636363636,881.194696969697,2322.5276515151513,2852.0068181818183,1715.757196969697,0.32687404385517593
Burden Place,2019-07-06,0.4210666283453323,15.318453884798679,0.23217671597975223,0.24626544935894848,0.10473167079337048,0.24075046245603468,23.377090323468092,0.16937955029585797,0.5694635605127226,0.5232434403649903,0.05173418227329824,-0.13026976749951938,0.23817949508622713,0.3499050864628535,0.07378981103879027,-0.22342440999013807,149.6671390338715,160.2391604633636,128.29102526870113,171.99199265033997,126.48867721426029,118.65095007275369,524.4036817882971,785.673241288626,899.732412886259,2199.543392504931,2860.958908612755,1787.662393162393,0.22437531871494135
Burden Place,2019-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2019-07-11,0.3902734490848571,15.042395267722398,0.20802094941544744,0.24696367770280517,0.04330849853808372,0.22427290884307266,21.75950658362509,0.1529464589495155,0.5773519177039692,0.5226969402750026,0.06472968326035296,-0.1660059319531642,0.22105814255602582,0.3643357668944416,0.06442317637684855,-0.24661536931157577,151.03572628530839,159.82615064142712,131.78289677228668,169.63462440980857,130.18506903785126,122.93937886146547,554.9423763386028,817.6443141254462,959.3901070882202,2175.0762366139725,3042.5084140744516,2001.0787863335033,0.0
Burden Place,2019-07-16,0.4120721314450945,15.385642945467325,0.22752152377024654,0.23492455786697583,0.11748378653024928,0.24236634033940596,23.40892033477818,0.17209522794492613,0.5517065141724941,0.5018131390233749,0.05455129580509411,-0.11265663244400996,0.24074812206244814,0.36119067778429376,0.07584639388322285,-0.2216196584523203,148.30293866007173,158.4985834327642,126.71597775901695,169.91561000353147,124.97204924867098,117.31413186102864,556.8421723610403,828.5293217746048,954.2057623661398,2285.460989291178,2871.9403365629782,1811.814380418154,0.0
Burden Place,2019-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2019-07-23,0.383736315930146,15.763902241235805,0.216402289423485,0.24380678207017026,0.0670917167621372,0.23129919696705986,22.246185037177092,0.16450827003293078,0.5562262874967376,0.5059371443976612,0.05845741275944274,-0.15140423957242166,0.2335736719389323,0.38780283335894616,0.06850715903951703,-0.2506041701591658,149.90359379308148,159.21684165398057,129.22136137671748,169.5734300250398,127.52407252658573,120.08347586428546,634.218441273326,903.5120746432492,1040.5203073545554,2331.364434687157,3164.8507135016466,2044.542261251372,0.5354411014788373
Burden Place,2019-07-26,0.3739738543453301,16.34732875800143,0.21983924175343814,0.2479724093584551,0.05295430459568597,0.22291144661025217,21.481323979602287,0.15283925446200916,0.5693565537353443,0.5106171613092122,0.07019178358064009,-0.1687484066954406,0.22096543495020995,0.38435512313105574,0.06512848081336053,-0.25507072488271293,149.50756172891602,157.54237246347304,130.33505295536324,166.71841790452834,128.84842399495415,121.94663185971345,603.964303926568,879.8763386027537,1040.508924018358,2275.9112697603264,3201.195308516063,2053.3110657827638,0.0
Burden Place,2019-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Burden Place,2019-08-05,0.3631712798469083,17.17241021961681,0.2255793402892456,0.25218427367071544,0.03456393046797957,0.20816121918460642,20.200070956230174,0.13711111269760326,0.580024128016459,0.519283371751277,0.07508941722639179,-0.1923945858062714,0.20495262931712102,0.3650241722055072,0.0578068104411015,-0.24992029936257004,151.6273407094516,158.68931070775426,133.6300497359662,166.593912277997,132.1255414745304,125.38032975237228,575.8528811830698,829.1300356960734,988.3289138194799,2112.9548699643037,3119.1904640489547,1973.1104028556858,0.0
Burden Place,2019-08-08,0.3575967285658191,15.699592918963397,0.19997433531558972,0.2485987936988924,0.010220252291683836,0.21471153301372223,20.665924529883338,0.14781263894967178,0.5680311790419593,0.5129187561745029,0.06848457984878094,-0.19013836119324204,0.21858915830832865,0.3979041442560174,0.05820660132385121,-0.27314294463894967,153.8671903211062,160.81036945372583,133.57170834403135,168.389515587881,131.70108622865192,124.75348202341013,675.5131291028447,921.6411378555798,1077.921225382932,2273.7013129102843,3339.2319474835886,2231.281181619256,0.7669556348801632
Burden Place,2019-08-10,0.34480153536524993,16.402061436480555,0.20311254262082287,0.253411721821556,-0.01615282975288422,0.19788560000048927,19.20242506549187,0.12669741032192136,0.5885756578353227,0.5237020390825782,0.0838998047175134,-0.21848359617262203,0.1951467180508733,0.3760925118037814,0.05094851983903934,-0.2701286014741953,153.95714659431533,159.54059635574305,136.7154740393534,165.8803488229305,135.2014444456058,128.98208332964424,600.8717424629535,847.0482881962187,1023.7278998467042,2094.973939703628,3262.25600408789,2165.0183955033212,0.002039775624681285
Burden Place,2019-08-15,0.35060320376247006,17.50827416970329,0.22253710150503223,0.21225425320180683,0.06262703231376014,0.18016626463457558,17.944799487898308,0.11303010894941638,0.5444944914160676,0.4831694690292442,0.07499469045884917,-0.16125647506945487,0.17517264283339187,0.31157889493190666,0.048166802590791216,-0.20567077724059668,154.62311192294672,160.55632440875786,139.2091574119651,167.06895578416564,137.89332708077842,131.60608786643715,508.11284046692606,725.3304150453956,868.886186770428,1809.336251621271,2592.05869001297,1658.346952010376,0.2136664966853646
Burden Place,2019-08-17,0.33871696911020666,15.256403158404886,0.18348034883450004,0.24190729738935426,-0.02980701275914675,0.1944934745940923,18.871921341411873,0.12596202345741966,0.5745505664273325,0.5137779753322342,0.07868525291082752,-0.21205323150572425,0.19486011226223474,0.37687313690974,0.04793489124171342,-0.26861669547424805,155.89835530908528,161.49313197047022,138.23890554893,167.63355832380674,136.55716978774248,130.11770540698748,635.4186639469658,867.0711371749107,1031.984956654768,2085.377868434472,3203.9599694033654,2215.3110657827638,0.0
Burden Place,2019-08-20,0.3297885792291925,16.878937202643584,0.20182696246428056,0.2467785528446467,-0.01704021369401272,0.19189878355653062,18.574010893027005,0.12231294645588989,0.576487670372533,0.5109473804369489,0.08593963830514428,-0.21805168123381038,0.19151529443384124,0.3842587714048954,0.048230914127995954,-0.2712289187455383,154.6272127008748,159.38504540426752,137.2211060321181,164.89668719300343,135.64355775540432,129.64411185076952,647.5137684854666,887.0464048954615,1070.3080061193268,2118.236868944416,3294.89418663947,2192.02728199898,0.0
Burden Place,2019-08-24,0.3351551829980125,15.704594217279604,0.18840737573568667,0.24528450665936447,-0.01812810970722897,0.20442279915817024,19.62210149389852,0.13928827118644066,0.562851728034542,0.5061878065001276,0.07341076116760892,-0.2058523099946536,0.20990758030615428,0.4138656161440678,0.05196338237288136,-0.2884338252118644,154.50922655136543,160.70663500492591,135.54057070880208,167.53402977474528,133.8039549532417,127.21619307286561,728.2203389830509,975.3559322033898,1143.5593220338983,2293.0593220338983,3481.436440677966,2382.021186440678,0.9398266190719021
Burden Place,2019-08-25,0.3208934847140996,16.846258911314997,0.19664853351725808,0.25133852697806053,-0.04918142173517671,0.17965853046868505,17.517985101778997,0.10918590719020904,0.5917165124943033,0.5232999264112599,0.09302679510293554,-0.24341734858484246,0.17621820280606787,0.3682113151019887,0.04194943973737891,-0.2721726283758286,155.5097734321372,159.91076591478748,140.49020829364045,165.01286974288416,139.18217614720132,133.59088663124504,599.410249872514,834.0525242223356,1018.4171341152473,1976.3809280979092,3243.580316165222,2181.268740438552,0.0
